;World1
PalRGB 1,1,13,13,6
PalRGB 1,2,5,5,2
PalRGB 1,3,12,12,5
PalRGB 1,4,14,14,6
PalRGB 1,5,9,9,8
PalRGB 1,6,12,12,12
PalRGB 1,7,0,15,3
PalRGB 1,8,0,12,6
;World2
PalRGB 1,1,0,6,6
PalRGB 1,2,0,6,12
PalRGB 1,3,0,0,0
PalRGB 1,4,11,11,11
PalRGB 1,5,3,3,3
PalRGB 1,6,6,6,6
PalRGB 1,7,9,9,9
PalRGB 1,8,0,12,6
;World3
PalRGB 1,1,2,13,4
PalRGB 1,2,4,9,5
PalRGB 1,3,2,12,6
PalRGB 1,4,15,9,5
PalRGB 1,5,9,9,8
PalRGB 1,6,13,12,10
PalRGB 1,7,0,6,3
PalRGB 1,8,11,5,0
;World4
PalRGB 1,1,9,10,10
PalRGB 1,2,8,8,8
PalRGB 1,3,9,9,9
PalRGB 1,4,6,6,6
PalRGB 1,5,8,5,3
PalRGB 1,6,12,9,5
PalRGB 1,7,7,4,2
PalRGB 1,8,9,6,3
